# gaia,tmass,pmra,pmdec,d,plx,m_h,m_h_err,alpha_m,alpha_m_err
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.77636158466,0.0171684063971,0.206889003515,0.0213907714933
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.76566159725,0.0174546763301,0.229589000344,0.0216289963573
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.71326160431,0.0183834191412,0.26211899519,0.0222476180643
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.7079615593,0.0181735046208,0.226468995214,0.0220280587673
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.77636158466,0.0171684063971,0.206889003515,0.0213907714933
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.76566159725,0.0174546763301,0.229589000344,0.0216289963573
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.71326160431,0.0183834191412,0.26211899519,0.0222476180643
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.7079615593,0.0181735046208,0.226468995214,0.0220280587673
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.77636158466,0.0171684063971,0.206889003515,0.0213907714933
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.76566159725,0.0174546763301,0.229589000344,0.0216289963573
831609885892678016,11013117+4751126,123.824205961,-490.094632246,130.994605576,7.63390214126,-1.39354896545,0.0204883981496,0.368014991283,0.0199860651046
831609885892678016,11013117+4751126,123.824205961,-490.094632246,130.994605576,7.63390214126,-1.39354896545,0.0204883981496,0.368014991283,0.0199860651046
831609885892678016,11013117+4751126,123.824205961,-490.094632246,130.994605576,7.63390214126,-1.39354896545,0.0204883981496,0.368014991283,0.0199860651046
3985420589136674048,11014938+2031259,-54.5307871396,-81.3721011026,972.862373061,1.02789462075,-2.14366149902,0.0355177149177,0.275749027729,0.0395628549159
3868484641304433408,11034106+1118016,-115.200202123,-37.9875209425,490.583862311,2.03838747424,-1.92084896564,0.0427346900105,0.180314987898,0.0669669359922
832006259829874816,11042311+4901268,119.431156294,-174.964255122,332.421366024,3.00823022287,-1.07996153831,0.0142095312476,0.126239001751,0.0157669484615
832006259829874816,11042311+4901268,119.431156294,-174.964255122,332.421366024,3.00823022287,-1.05756151676,0.0144513482228,0.118958994746,0.0158728137612
832006259829874816,11042311+4901268,119.431156294,-174.964255122,332.421366024,3.00823022287,-1.07996153831,0.0142095312476,0.126239001751,0.0157669484615
832006259829874816,11042311+4901268,119.431156294,-174.964255122,332.421366024,3.00823022287,-1.05756151676,0.0144513482228,0.118958994746,0.0158728137612
3992318615852139392,11143181+2333094,18.4505801251,-166.860188685,344.049162855,2.90656135217,-1.47346150875,0.0307591985911,0.221178993583,0.0309624783695
3791953890368136320,11162517-0027141,-22.3488763226,-65.4458453071,744.478363967,1.34322238013,-0.48126155138,0.0111886058003,0.153488993645,0.0114630712196
789895514245227904,11212354+4846084,84.5959751367,-233.829131377,228.040420259,4.38518749819,-1.38124895096,0.0326326824725,0.21018499136,0.0266886148602
789895514245227904,11212354+4846084,84.5959751367,-233.829131377,228.040420259,4.38518749819,-1.38124895096,0.0326326824725,0.21018499136,0.0266886148602
3978869320901320576,11253967+2117030,-53.197290625,-58.51897026,817.304915066,1.22353356938,-0.672711551189,0.0105049852282,-0.0128560010344,0.0114124100655
838679092819133568,11260646+5141177,7.35776647569,-104.685018717,494.457259275,2.02241949378,-1.18876159191,0.0131168449298,0.172699004412,0.0152233541012
838679092819133568,11260646+5141177,7.35776647569,-104.685018717,494.457259275,2.02241949378,-1.20646154881,0.0129590537399,0.150548994541,0.0151335923001
838679092819133568,11260646+5141177,7.35776647569,-104.685018717,494.457259275,2.02241949378,-1.18876159191,0.0131168449298,0.172699004412,0.0152233541012
838679092819133568,11260646+5141177,7.35776647569,-104.685018717,494.457259275,2.02241949378,-1.20646154881,0.0129590537399,0.150548994541,0.0151335923001
3978856053747266560,11272954+2130389,-101.505657287,-30.163354733,808.91253018,1.2362276052,-1.4551615715,0.0146912196651,0.216408997774,0.0176392681897
3978856053747266560,11272954+2130389,-101.505657287,-30.163354733,808.91253018,1.2362276052,-1.40536153316,0.0150219881907,0.184799000621,0.0177572909743
3978856053747266560,11272954+2130389,-101.505657287,-30.163354733,808.91253018,1.2362276052,-1.4551615715,0.0146912196651,0.216408997774,0.0176392681897
3978856053747266560,11272954+2130389,-101.505657287,-30.163354733,808.91253018,1.2362276052,-1.40536153316,0.0150219881907,0.184799000621,0.0177572909743
4022618712476736896,11294849+3004025,-69.3293779502,-53.4961635108,639.72971287,1.56316015949,-1.47896158695,0.0424765944481,0.347738981247,0.0368851460516
841160278247154944,11352885+5351134,31.8971593974,-131.594967896,405.323495392,2.46716514431,-0.670641541481,0.0218447931111,0.217098996043,0.0198955964297
841160278247154944,11352885+5351134,31.8971593974,-131.594967896,405.323495392,2.46716514431,-0.662241518497,0.0146665750071,0.196149006486,0.0145478872582
841160278247154944,11352885+5351134,31.8971593974,-131.594967896,405.323495392,2.46716514431,-0.670641541481,0.0218447931111,0.217098996043,0.0198955964297
841160278247154944,11352885+5351134,31.8971593974,-131.594967896,405.323495392,2.46716514431,-0.662241518497,0.0146665750071,0.196149006486,0.0145478872582
840140034535888128,11400884+5243332,-2.79315741215,-239.630480521,220.55130717,4.53409237439,-1.06914889812,0.0212960205972,0.382934987545,0.0212940499187
840140034535888128,11400884+5243332,-2.79315741215,-239.630480521,220.55130717,4.53409237439,-1.08874893188,0.0225677192211,0.367464989424,0.02218323946
840140034535888128,11400884+5243332,-2.79315741215,-239.630480521,220.55130717,4.53409237439,-1.06914889812,0.0212960205972,0.382934987545,0.0212940499187
840140034535888128,11400884+5243332,-2.79315741215,-239.630480521,220.55130717,4.53409237439,-1.08874893188,0.0225677192211,0.367464989424,0.02218323946
791739944999454720,11401831+5115404,32.9070595659,-143.344363819,365.536868973,2.73570215451,-0.702849030495,0.0195533260703,0.208645001054,0.020397040993
791739944999454720,11401831+5115404,32.9070595659,-143.344363819,365.536868973,2.73570215451,-0.811339020729,0.0186189115047,0.278624981642,0.0198337715119
791739944999454720,11401831+5115404,32.9070595659,-143.344363819,365.536868973,2.73570215451,-0.702849030495,0.0195533260703,0.208645001054,0.020397040993
791739944999454720,11401831+5115404,32.9070595659,-143.344363819,365.536868973,2.73570215451,-0.811339020729,0.0186189115047,0.278624981642,0.0198337715119
3572694195000456448,11445119-1439090,-41.8089668825,-64.2534084396,700.736302334,1.42707034967,-1.80284893513,0.0449016578496,0.183194994926,0.0809723883867
791249665893533568,11463514+5052547,-868.814524348,-544.26500315,70.7543717933,14.1334022853,-1.43306159973,0.0201592016965,0.195998996496,0.0223098453134
791249665893533568,11463514+5052547,-868.814524348,-544.26500315,70.7543717933,14.1334022853,-1.44596159458,0.0179907660931,0.161948993802,0.0205047093332
791249665893533568,11463514+5052547,-868.814524348,-544.26500315,70.7543717933,14.1334022853,-1.43306159973,0.0201592016965,0.195998996496,0.0223098453134
791249665893533568,11463514+5052547,-868.814524348,-544.26500315,70.7543717933,14.1334022853,-1.44596159458,0.0179907660931,0.161948993802,0.0205047093332
3912005716714761216,11552715+0907449,-50.5977173842,-38.6326233657,916.100809042,1.0915829242,-2.24486160278,0.0194354951382,0.324669003487,0.0257381610572
3999520898050866304,11582080+2038412,-108.132485019,-53.1529037789,589.976621249,1.69498241792,-1.34304893017,0.0283972248435,0.172124996781,0.0280857458711
3951211277703834368,12052096+1940445,-199.205851063,-83.662365011,365.783651958,2.73385646036,-1.48196148872,0.0452237762511,0.27935898304,0.0383707731962
4030401781628156928,12120517+3720235,-118.603655223,-82.022810859,477.437702539,2.09451410034,-1.39776158333,0.0146275190637,0.192439004779,0.0173643901944
3950606030912407424,12122276+1941563,-7.76409852327,-65.6017758163,937.562499906,1.0665955604,-0.516781568527,0.0121566932648,0.0256309993565,0.0123488046229
1538656541845737856,12192454+4434582,-98.9180140001,-28.294616762,898.895177114,1.11247676643,-1.21866154671,0.0255621597171,0.197199001908,0.025691922754
1533044393979519616,12214419+3958089,-60.2103074223,-328.053563885,162.881891108,6.13941791317,-0.715299010277,0.0185468308628,0.236804991961,0.0127951353788
1533044393979519616,12214419+3958089,-60.2103074223,-328.053563885,162.881891108,6.13941791317,-0.715299010277,0.0185468308628,0.236804991961,0.0127951353788
3908797891540201344,12232152+1320561,-7.76603840666,-104.22310848,491.838740198,2.03318673027,-0.550471544266,0.00909487530589,0.223449006677,0.00991308502853
